id,content,question_type,answer_data,work_id,difficulty,explanation,created_by,is_public,is_ai_generated,usage_count,correct_rate,average_time,created_at,updated_at
003dd96e-2d0d-4746-85b2-3ea04f41a81b,"Nội dung chính của đoạn trích: 'Năm Giáp Ngọ, có người ở thành Đông Quan vốn quen biết với Tử Văn... Bởi thế được nổi tiếng và giữ chức vụ ở Minh ti, thật là xứng đáng'",multiple_choice,"{""correct"":""Tử Văn thắng lợi trở về, nhận chức phán sự đền Tản Viên"",""options"":[""Ngô Tử Văn và hành động đốt đền"",""Tử Văn gặp hồn ma tên bách hộ họ Thôi và thổ thần"",""Tử Văn bị bắt và cuộc đối chất ở Minh ti trước Diêm Vương"",""Tử Văn thắng lợi trở về, nhận chức phán sự đền Tản Viên""]}",debd6d4a-0f1f-433d-a942-63674a503421,Dễ,"Nội dung chính của đoạn trích trên là Tử Văn thắng lợi trở về, nhận chức phán sự đền Tản Viên",,FALSE,FALSE,0,0,0,2026-01-04 10:41:13.65412+00,2026-01-04 14:54:57.539791+00
019b8bdf-1585-438b-aaec-09e3d74b2769,Ý nào sau đây đúng khi nói về tập Truyền kì mạn lục?,multiple_choice,"{""correct"":""Tất cả đáp án trên"",""options"":[""Nghĩa là: Ghi chép tản mạn những truyện kì lạ được lưu truyền"",""Theo lời Tựa của Hà Thiện Hán viết năm 1547 thì ông viết ra tập lục này để ngụ ý trong thời gian ẩn cư ở rừng núi xứ Thanh"",""Sách gồm 20 truyện, viết bằng chữ Hán, theo thể loại tản văn"",""Tất cả đáp án trên""]}",debd6d4a-0f1f-433d-a942-63674a503421,Trung bình,"Sáng tác duy nhất của ông là quyển Truyền kỳ mạn lục (Ghi chép tản mạn những truyện kì lạ được lưu truyền). Theo lời Tựa của Hà Thiện Hán viết năm 1547 thì ông viết ra tập lục này để ngụ ý trong thời gian ẩn cư ở rừng núi xứ Thanh. Sách gồm 20 truyện, viết bằng chữ Hán, theo thể loại tản văn.",,FALSE,FALSE,0,0,0,2026-01-04 10:41:13.65412+00,2026-01-04 14:48:55.004952+00
1098e80d-0352-447b-8974-3976e3d76ec8,Truyền kì mạn lục của Nguyễn Dữ phản ánh điều gì?,multiple_choice,"{""correct"":""Tất cả các đáp án trên"",""options"":[""Hiện thực xã hội phong kiến đương thời với đầy rẫy những điều tối tăm, góc khuất mà tác giả muốn vạch trần, tố cáo"",""Số phận bi thảm của những con người nhỏ bé trong xã hội, những bi kịch tình yêu mà thiệt thòi thường rơi vào người phụ nữ"",""Thể hiện tinh thần dân tộc, niềm tự hào về nhân tài, văn hóa nước Việt"",""Tất cả các đáp án trên""]}",debd6d4a-0f1f-433d-a942-63674a503421,Khó,"Truyền kì mạn lục phản ánh: Hiện thực xã hội phong kiến đương thời với đầy rẫy những điều tối tăm, góc khuất; Số phận bi thảm của những con người nhỏ bé trong xã hội, những bi kịch tình yêu; Thể hiện tinh thần dân tộc, niềm tự hào về nhân tài, văn hóa nước Việt",,FALSE,FALSE,0,0,0,2026-01-04 10:41:13.65412+00,2026-01-04 14:55:07.861224+00
149fdafa-e376-4ce0-a77c-d6357035b7be,Nguyễn Dữ viết Truyền kì mạn lục bằng ngôn ngữ nào?,multiple_choice,"{""correct"":""Chữ Hán"",""options"":[""Chữ Nôm"",""Chữ Hán"",""Chữ quốc ngữ"",""Ngôn ngữ khác""]}",debd6d4a-0f1f-433d-a942-63674a503421,Dễ,Nguyễn Dữ viết Truyền kì mạn lục bằng chữ Hán,,FALSE,FALSE,0,0,0,2026-01-04 10:41:13.65412+00,2026-01-04 14:49:27.568908+00
1ebc4693-26c0-46f5-aeba-6cec51d16f4b,"Nội dung chính của đoạn trích: 'Tử Văn vâng lời. Đến đêm, bệnh càng nặng thêm, rồi thấy hai tên quỷ sứ đến bắt đi rất gấp... Tử Văn vui vẻ nhận lời, bèn thu xếp việc nhà, rồi không bệnh mà mất'",multiple_choice,"{""correct"":""Tử Văn bị bắt và cuộc đối chất ở Minh ti trước Diêm Vương"",""options"":[""Ngô Tử Văn và hành động đốt đền"",""Tử Văn gặp hồn ma tên bách hộ họ Thôi và thổ thần"",""Tử Văn bị bắt và cuộc đối chất ở Minh ti trước Diêm Vương"",""Tử Văn thắng lợi trở về, nhận chức phán sự đền Tản Viên""]}",debd6d4a-0f1f-433d-a942-63674a503421,Khó,Nội dung chính của đoạn trích trên là Tử Văn bị bắt và cuộc đối chất ở Minh ti trước Diêm Vương,,FALSE,FALSE,0,0,0,2026-01-04 10:41:13.65412+00,2026-01-04 14:55:24.535009+00
2893050d-7dd4-4923-aa8b-7538abb7686e,Đâu là quê hương của Nguyễn Dữ?,multiple_choice,"{""correct"":""Hải Dương"",""options"":[""Hà Nội"",""Cao Bằng"",""Tây Nguyên"",""Hải Dương""]}",debd6d4a-0f1f-433d-a942-63674a503421,Dễ,Nguyễn Dữ quê ở Hải Dương,,FALSE,FALSE,0,0,0,2026-01-04 10:41:13.65412+00,2026-01-04 13:07:59.272952+00
33ddcb64-baf0-42a7-9f4d-61cb3e4aed99,Chức Phán sự là chức vụ như thế nào?,multiple_choice,"{""correct"":""Chức quan coi việc xử án ngày xưa"",""options"":[""Chức quan cao nhất trong triều, có quyền tham gia ý kiến trong mọi việc chính sự"",""Cố vấn việc chính sự cho vua"",""Chức quan coi việc xử án ngày xưa"",""Chức quan được hưởng nhiều bổng lộc nhất trong triều""]}",debd6d4a-0f1f-433d-a942-63674a503421,Dễ,Chức Phán sự là chức quan coi việc xử án ngày xưa,,FALSE,FALSE,0,0,0,2026-01-04 10:41:13.65412+00,2026-01-04 10:41:13.65412+00
4700acd5-c7b8-424f-a04b-015d0b3c634f,Thời kỳ Nguyễn Dữ sống có điều gì đặc biệt?,multiple_choice,"{""correct"":""Nội chiến diễn ra liên miên"",""options"":[""Xã hội phát triển thịnh trị"",""Nước ta bị nhà Tống xâm lược"",""Nội chiến diễn ra liên miên"",""Bị nhà Hán đô hộ""]}",debd6d4a-0f1f-433d-a942-63674a503421,Dễ,"Ông sống vào thời kì nhà Lê khủng hoảng, các tập đoàn phong kiến Lê, Mạc, Trịnh tranh giành quyền binh, nội chiến kéo dài.",,FALSE,FALSE,0,0,0,2026-01-04 10:41:13.65412+00,2026-01-04 10:41:13.65412+00
55746321-8bf2-483b-87b0-bbe32740352a,Văn bản Chuyện chức phán sự đền Tản Viên của tác giả nào?,multiple_choice,"{""correct"":""Nguyễn Dữ"",""options"":[""Hoàng Đức Lương"",""Nguyễn Trung Ngạn"",""Ngô Sĩ Liên"",""Nguyễn Dữ""]}",debd6d4a-0f1f-433d-a942-63674a503421,Dễ,Văn bản Chuyện chức phán sự đền Tản Viên của tác giả Nguyễn Dữ,,FALSE,FALSE,0,0,0,2026-01-04 10:41:13.65412+00,2026-01-04 14:48:59.548267+00
5b1425bd-603c-42c4-8bef-bdcc493c2d8e,Truyền kì mạn lục của Nguyễn Dữ gồm bao nhiêu truyện?,multiple_choice,"{""correct"":""20"",""options"":[""18"",""19"",""20"",""21""]}",debd6d4a-0f1f-433d-a942-63674a503421,Dễ,Truyền kì mạn lục của Nguyễn Dữ gồm 20 truyện,,FALSE,FALSE,0,0,0,2026-01-04 10:41:13.65412+00,2026-01-04 10:41:13.65412+00
